name,slug,exercise_family,modality,movement_pattern,primary_muscles,secondary_muscles,equipment,is_compound,fatigue_cost,technical_demand,default_rep_low,default_rep_high,default_rest_sec,is_unilateral,tracking_type,rom_bias,angle,grip_width,grip_orientation,head_bias,joint_load,skill_gate,stabilises,selectable
Overhead Cable Triceps Extension,overhead-cable-triceps-extension,overhead_extension,strength,isolation,triceps,front_delts,cable,FALSE,1,1,10,15,60,FALSE,weight_reps,,,,,long,elbow,,,TRUE
Dumbbell Overhead Triceps Extension,dumbbell-overhead-triceps-extension,overhead_extension,strength,isolation,triceps,front_delts,dumbbell,FALSE,1,1,10,15,60,FALSE,weight_reps,,,,,long,elbow|shoulder,,,TRUE
Single-Arm Dumbbell Overhead Extension,single-arm-dumbbell-overhead-extension,overhead_extension,strength,isolation,triceps,front_delts,dumbbell,FALSE,1,1,10,15,60,TRUE,weight_reps,,,,,long,elbow|shoulder,,,TRUE
EZ-Bar Overhead Extension,ez-bar-overhead-extension,overhead_extension,strength,isolation,triceps,front_delts,ez_bar|bench,FALSE,2,2,8,15,90,FALSE,weight_reps,,,,,long,elbow,,,TRUE
Band Overhead Triceps Extension,band-overhead-triceps-extension,overhead_extension,strength,isolation,triceps,front_delts,bands,FALSE,1,1,12,20,45,FALSE,reps_only,,,,,long,,,,TRUE
Cable Triceps Pushdown,cable-triceps-pushdown,pushdown,strength,isolation,triceps,forearms,cable,FALSE,1,1,10,20,60,FALSE,weight_reps,,,,,short,,,,TRUE
Rope Triceps Pushdown,rope-triceps-pushdown,pushdown,strength,isolation,triceps,forearms,cable,FALSE,1,1,10,20,60,FALSE,weight_reps,,,,,short,,,,TRUE
Reverse-Grip Cable Pushdown,reverse-grip-cable-pushdown,pushdown,strength,isolation,triceps,forearms,cable,FALSE,1,1,12,20,60,TRUE,weight_reps,,,,supinated,short,wrist,,,TRUE
Band Triceps Pushdown,band-triceps-pushdown,pushdown,strength,isolation,triceps,forearms,bands,FALSE,1,1,15,25,45,FALSE,reps_only,,,,,short,,,,TRUE
Machine Triceps Extension,machine-triceps-extension,pushdown,strength,isolation,triceps,forearms,triceps_extension_machine,FALSE,1,1,10,20,60,FALSE,weight_reps,,,,,short,,,,TRUE
EZ-Bar Skullcrusher,ez-bar-skullcrusher,skullcrusher,strength,isolation,triceps,front_delts,ez_bar|bench,FALSE,2,2,8,15,90,FALSE,weight_reps,,,,,long,elbow,,,TRUE
Dumbbell Skullcrusher,dumbbell-skullcrusher,skullcrusher,strength,isolation,triceps,front_delts,dumbbell|bench,FALSE,1,2,10,15,60,FALSE,weight_reps,,,,,long,elbow,,,TRUE
Cable Lying Triceps Extension,cable-lying-triceps-extension,skullcrusher,strength,isolation,triceps,front_delts,cable|bench,FALSE,1,2,10,15,60,FALSE,weight_reps,stretch,,,,,elbow,,,TRUE
JM Press,jm-press,close_grip_press,strength,push_h,triceps,chest|front_delts,barbell|bench|rack,TRUE,3,3,6,10,120,FALSE,weight_reps,,,close,,,elbow,,,TRUE
Close-Grip Bench Press,close-grip-bench-press,close_grip_press,strength,push_h,triceps|chest,front_delts,barbell|bench|rack,TRUE,3,2,6,10,120,FALSE,weight_reps,,,close,,,elbow|wrist,,,TRUE
Smith Machine Close-Grip Press,smith-machine-close-grip-press,close_grip_press,strength,push_h,triceps|chest,front_delts,smith_machine|bench,TRUE,2,1,8,12,90,FALSE,weight_reps,,,close,,,elbow,,,TRUE
Bench Dip,bench-dip,dip,strength,push_h,triceps,chest|front_delts,bodyweight|bench,TRUE,2,1,10,20,90,FALSE,reps_only,shortened,,,,,shoulder,,,TRUE
Weighted Bench Dip,weighted-bench-dip,dip,strength,push_h,triceps,chest|front_delts,bodyweight|bench|plate,TRUE,2,2,8,15,90,FALSE,weight_reps,shortened,,,,,shoulder,,,TRUE
Triceps Dip,triceps-dip,dip,strength,push_h,triceps,chest|front_delts,dip_bar,TRUE,2,2,6,12,120,FALSE,reps_only,,,close,,,shoulder,,,TRUE
Diamond Push-Up,diamond-push-up,bodyweight_extension,strength,push_h,triceps,chest|front_delts,bodyweight,TRUE,1,1,10,20,60,FALSE,reps_only,,,close,,,wrist,,,TRUE
