fitnotes_id,fitnotes_name,fitnotes_category,trainer_id,trainer_name,trainer_file,pattern,tracking,match_tier,action,completed_sets,log_rows,authorised_by,basis,export_preferred
205,Flat Barbell Bench Press,Chest,,Barbell Bench Press,06_chest.csv,push_h,weight_reps,alias,rename,107,115,#33,,TRUE
199,Seated Cable Row,Back,,Seated Cable Row,07_back.csv,pull_h,weight_reps,exact/normalised,keep,50,84,,,TRUE
213,Barbell Squat,Legs,,Back Squat,01_quads.csv,squat,weight_reps,alias,rename,48,52,#33,,TRUE
132,Overhead Press,Shoulders,,Overhead Press,08_shoulders.csv,push_v,weight_reps,exact/normalised,keep,48,49,,,TRUE
195,Barbell Row,Back,,Barbell Row,07_back.csv,pull_h,weight_reps,exact/normalised,keep,42,50,,,TRUE
144,Barbell Curl,Biceps,,Barbell Curl,09_biceps.csv,isolation,weight_reps,exact/normalised,keep,36,57,,,TRUE
109,Cable Overhead Triceps Extension,Triceps,,Overhead Cable Triceps Extension,10_triceps.csv,isolation,weight_reps,token-set,rename,36,83,#33,,TRUE
191,Dumbbell Curl,Biceps,,Dumbbell Curl,09_biceps.csv,isolation,weight_reps,exact/normalised,keep,31,43,,,TRUE
128,Lat Pulldown,Back,,Lat Pulldown,07_back.csv,pull_v,weight_reps,exact/normalised,keep,31,44,,,TRUE
178,Lateral Dumbbell Raise,Shoulders,,Dumbbell Lateral Raise,08_shoulders.csv,isolation,weight_reps,token-set,rename,23,45,#33,,TRUE
207,Bulgarian Split Squat,Legs,,Bulgarian Split Squat,01_quads.csv,squat,weight_reps,exact/normalised,keep,22,23,,,TRUE
162,Deadlift,Back,,Conventional Deadlift,02_glutes.csv,hinge,weight_reps,alias,rename,18,32,#33,,TRUE
201,Incline Barbell Bench Press,Chest,,Incline Barbell Press,06_chest.csv,push_h,weight_reps,alias-manual,rename,18,32,#33,,TRUE
102,Romanian Deadlift,Legs,,Romanian Deadlift,03_hamstrings.csv,hinge,weight_reps,exact/normalised,keep,18,19,,,TRUE
222,Shoulder Curl,Shoulders,,,,,,no-trainer-equivalent,keep as legacy,17,22,#38,curl-to-press combo; catalog models both halves separately. Mapping to either half corrupts e1RM on both (ADR-023). Import as legacy.,
98,Straight-Arm Cable Pushdown,Back,,Straight-Arm Pulldown,07_back.csv,pull_v,weight_reps,alias,rename,17,40,#33,,TRUE
225,Leg Extension Machine,Legs,,Leg Extension,01_quads.csv,isolation,weight_reps,token-set,rename,13,20,#33,,TRUE
229,Hip Abduction,Legs,,Machine Hip Abduction,05_hips.csv,isolation,weight_reps,token-set,rename,12,12,#33,,TRUE
234,Hip Adduction,Legs,,Machine Hip Adduction,05_hips.csv,isolation,weight_reps,token-set,rename,12,12,#33,,TRUE
230,Cable Crossover - Abs,Abs,cable-crunch,,,,,judgement,rename,11,117,#38,confirmed by athlete: it is a cable crunch,TRUE
176,Barbell Glute Bridge,Legs,,Glute Bridge,02_glutes.csv,hinge,reps_only,alias-manual,rename,9,15,#33,,TRUE
245,Cable Crossover - Under,Chest,,Low-to-High Cable Fly,06_chest.csv,push_h,weight_reps,alias-manual,rename,9,27,#33,,TRUE
